NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
VANGL2	1	ENSG00000162738	
SIM2	1	ENSG00000159263	
CAPN1	1	ENSG00000014216	
INTS8	1	ENSG00000164941	
ATP6AP2	1	ENSG00000182220	
GFM1	1	ENSG00000168827	
ELP3	1	ENSG00000134014	
SMIM20	1	ENSG00000250317	
FBXO4	1	ENSG00000151876	
RNF185	1	ENSG00000138942	
GK5	1	ENSG00000175066	
RBMS2	1	ENSG00000076067	
AASS	1	ENSG00000008311	
ETF1P2	1	ENSG00000240132	
SCARA3	1	ENSG00000168077	
KIF13A	1	ENSG00000137177	
ANKEF1	1	ENSG00000132623	
ARL6	1	ENSG00000113966	
GSK3B	1	ENSG00000082701	
UQCC1	1	ENSG00000101019	
NOTCH2	1	ENSG00000134250	
AFG1L	1	ENSG00000135537	
TMX3	1	ENSG00000166479	
ZBTB38	1	ENSG00000177311	
THBS3	1	ENSG00000169231	
ERCC1	1	ENSG00000012061	
SLC38A7	1	ENSG00000103042	
PDPR	1	ENSG00000090857	
LRRC74B	1	ENSG00000187905	
SMG1P3	1	ENSG00000180747	
CLDN10	1	ENSG00000134873	
CHKA	1	ENSG00000110721	
BCL6	1	ENSG00000113916	
RBM33	1	ENSG00000184863	
CKMT1A	1	ENSG00000223572	
IQCD	1	ENSG00000166578	
RBM45	1	ENSG00000155636	
SHQ1	1	ENSG00000144736	
TMEM222	1	ENSG00000186501	
ENTR1	1	ENSG00000165689	
CTSA	1	ENSG00000064601	
DNAJB1	1	ENSG00000132002	
RCC1	1	ENSG00000180198	
GXYLT2	1	ENSG00000172986	
MTHFSD	1	ENSG00000103248	
DUOXA1	1	ENSG00000140254	
TOPORS	1	ENSG00000197579	
BID	1	ENSG00000015475	
TCTN3	1	ENSG00000119977	
SLC25A44	1	ENSG00000160785	
ATP1A1	1	ENSG00000163399	
HAUS2	1	ENSG00000137814	
SLC38A6	1	ENSG00000139974	
ZNF675	1	ENSG00000197372	
ELMO2	1	ENSG00000062598	
SNAPC3	1	ENSG00000164975	
YJU2B	1	ENSG00000104957	
ARSB	1	ENSG00000113273	
AMPD2	1	ENSG00000116337	
MAL2	1	ENSG00000147676	
AP1G2	1	ENSG00000213983	
CDKN2B	1	ENSG00000147883	
PACRGL	1	ENSG00000163138	
CEP83	1	ENSG00000173588	
RXYLT1	1	ENSG00000118600	
PAK6	1	ENSG00000137843	
GIN1	1	ENSG00000145723	
DMAP1	1	ENSG00000178028	
PPP1R3E	1	ENSG00000235194	
DCBLD1	1	ENSG00000164465	
FGFR1	1	ENSG00000077782	
CXCL14	1	ENSG00000145824	
PPIP5K1	1	ENSG00000168781	
EOLA1	1	ENSG00000197620	
ZNF700	1	ENSG00000196757	
SLC25A34	1	ENSG00000162461	
CNDP2	1	ENSG00000133313	
RIGI	1	ENSG00000107201	
GIPC2	1	ENSG00000137960	
METTL14	1	ENSG00000145388	
EMC1	1	ENSG00000127463	
PSAP	1	ENSG00000197746	
POLA2	1	ENSG00000014138	
PPARGC1B	1	ENSG00000155846	
BYSL	1	ENSG00000112578	
TTC14	1	ENSG00000163728	
C4orf33	1	ENSG00000151470	
CUL4B	1	ENSG00000158290	
FUNDC1	1	ENSG00000069509	
ZDHHC3	1	ENSG00000163812	
GLUL	1	ENSG00000135821	
UMPS	1	ENSG00000114491	
MTBP	1	ENSG00000172167	
ATP5F1D	1	ENSG00000099624	
SLC36A4	1	ENSG00000180773	
CCN3	1	ENSG00000136999	
ASB6	1	ENSG00000148331	
VPS13C	1	ENSG00000129003	
KLHL15	1	ENSG00000174010	
MRS2P2	1	ENSG00000257802	
EHD4	1	ENSG00000103966	
SYCE2	1	ENSG00000161860	
ARMCX6	1	ENSG00000198960	
PIK3CB	1	ENSG00000051382	
ZNF317	1	ENSG00000130803	
ARL4A	1	ENSG00000122644	
MICAL2	1	ENSG00000133816	
LIN54	1	ENSG00000189308	
MTMR11	1	ENSG00000014914	
SETD9	1	ENSG00000155542	
LOXL4	1	ENSG00000138131	
FBXW4	1	ENSG00000107829	
UBAP1	1	ENSG00000165006	
DNAH14	1	ENSG00000185842	
ZNF280C	1	ENSG00000056277	
TNIP2	1	ENSG00000168884	
RAB28	1	ENSG00000157869	
RC3H1	1	ENSG00000135870	
ENTPD5	1	ENSG00000187097	
KIF1B	1	ENSG00000054523	
HDAC8	1	ENSG00000147099	
KAT14	1	ENSG00000149474	
AHCY	1	ENSG00000101444	
TYK2	1	ENSG00000105397	
IVD	1	ENSG00000128928	
B3GNT2	1	ENSG00000170340	
ABHD4	1	ENSG00000100439	
NPHP4	1	ENSG00000131697	
ZDHHC21	1	ENSG00000175893	
EXT2	1	ENSG00000151348	
CPA6	1	ENSG00000165078	
AADACP1	1	ENSG00000240602	
AKT1	1	ENSG00000142208	
CA5B	1	ENSG00000169239	
PET117	1	ENSG00000232838	
C9	1	ENSG00000113600	
DNASE1L3	1	ENSG00000163687	
TIAM1	1	ENSG00000156299	
ATG14	1	ENSG00000126775	
USP44	1	ENSG00000136014	
PTPN13	1	ENSG00000163629	
DPYD	1	ENSG00000188641	
LIG4	1	ENSG00000174405	
APC	1	ENSG00000134982	
ZC4H2	1	ENSG00000126970	
UTS2	1	ENSG00000049247	
INPP4A	1	ENSG00000040933	
KCNJ15	1	ENSG00000157551	
ERBIN	1	ENSG00000112851	
SPG11	1	ENSG00000104133	
ADARB1	1	ENSG00000197381	
LYN	1	ENSG00000254087	
DUOX1	1	ENSG00000137857	
PDE8A	1	ENSG00000073417	
C1orf52	1	ENSG00000162642	
WDR46	1	ENSG00000227057	
NLRC3	1	ENSG00000167984	
PBX1	1	ENSG00000185630	
PUDP	1	ENSG00000130021	
TTC3P1	1	ENSG00000215105	
MPP1	1	ENSG00000130830	
SUPT6H	1	ENSG00000109111	
AFF4	1	ENSG00000072364	
PLXNA2	1	ENSG00000076356	
ARHGEF37	1	ENSG00000183111	
GOLGA6L9	1	ENSG00000197978	
PELI1	1	ENSG00000197329	
R3HCC1	1	ENSG00000104679	
SOD2	1	ENSG00000291237	
ADGRL2	1	ENSG00000117114	
ANKLE2	1	ENSG00000176915	
HERC2	1	ENSG00000128731	
TACC2	1	ENSG00000138162	
CDK2	1	ENSG00000123374	
PXDC1	1	ENSG00000168994	
UBE2G2	1	ENSG00000184787	
EHHADH	1	ENSG00000113790	
LRMDA	1	ENSG00000148655	
C1orf116	1	ENSG00000182795	
RAB27B	1	ENSG00000041353	
ZNF224	1	ENSG00000267680	
AP1M2	1	ENSG00000129354	
RMDN3	1	ENSG00000137824	
VCP	1	ENSG00000165280	
APOBEC3G	1	ENSG00000239713	
SPEN	1	ENSG00000065526	
ZNF783	1	ENSG00000204946	
MINPP1	1	ENSG00000107789	
TECPR2	1	ENSG00000196663	
ZNF223	1	ENSG00000178386	
SHLD1	1	ENSG00000171984	
USP8	1	ENSG00000138592	
HMBOX1	1	ENSG00000147421	
KCNAB2	1	ENSG00000069424	
OLR1	1	ENSG00000173391	
CDKL5	1	ENSG00000008086	
STEEP1	1	ENSG00000018610	
FKRP	1	ENSG00000181027	
SLPI	1	ENSG00000124107	
ZNF737	1	ENSG00000237440	
AMOTL2	1	ENSG00000114019	
KAT5	1	ENSG00000172977	
SC5D	1	ENSG00000109929	
POC1B	1	ENSG00000139323	
VPS26C	1	ENSG00000157538	
RPP14	1	ENSG00000163684	
PPP3CC	1	ENSG00000120910	
NBPF1	1	ENSG00000219481	
NPIPB13	1	ENSG00000198064	
SEPTIN7P2	1	ENSG00000214765	
ARID3A	1	ENSG00000116017	
PARPBP	1	ENSG00000185480	
ZIC5	1	ENSG00000139800	
TRIM28	1	ENSG00000130726	
TMF1	1	ENSG00000144747	
WDR91	1	ENSG00000105875	
LETMD1	1	ENSG00000050426	
EMB	1	ENSG00000170571	
MXD1	1	ENSG00000059728	
SLC7A6	1	ENSG00000103064	
ZNF275	1	ENSG00000063587	
ZNF395	1	ENSG00000186918	
HTRA3	1	ENSG00000170801	
ABL2	1	ENSG00000143322	
FKBP4	1	ENSG00000004478	
EIF4G3	1	ENSG00000075151	
SERPINB8	1	ENSG00000166401	
CCDC80	1	ENSG00000091986	
ZNF836	1	ENSG00000196267	
NECTIN3	1	ENSG00000177707	
ATP6AP1	1	ENSG00000071553	
PARP8	1	ENSG00000151883	
ZNF44	1	ENSG00000197857	
UGT8	1	ENSG00000174607	
FCHO1	1	ENSG00000130475	
STK10	1	ENSG00000072786	
CDH18	1	ENSG00000145526	
YTHDF1	1	ENSG00000149658	
PCDH11Y	1	ENSG00000099715	
ZSCAN5A	1	ENSG00000131848	
SQOR	1	ENSG00000137767	
TMEM245	1	ENSG00000106771	
ZNF664	1	ENSG00000179195	
MOB3C	1	ENSG00000142961	
FN1	1	ENSG00000115414	
RAB31	1	ENSG00000168461	
SLC1A3	1	ENSG00000079215	
SCAF4	1	ENSG00000156304	
NEPRO	1	ENSG00000163608	
ZDHHC9	1	ENSG00000188706	
AP3M2	1	ENSG00000070718	
MAOB	1	ENSG00000069535	
EIF2AK4	1	ENSG00000128829	
MCRS1	1	ENSG00000187778	
YTHDC2	1	ENSG00000047188	
TMEM134	1	ENSG00000172663	
TMEM101	1	ENSG00000091947	
B3GNT3	1	ENSG00000179913	
DENND2C	1	ENSG00000175984	
RNF121	1	ENSG00000137522	
KIAA1671	1	ENSG00000197077	
ARHGAP12	1	ENSG00000165322	
RUNX2	1	ENSG00000124813	
KIF16B	1	ENSG00000089177	
CAAP1	1	ENSG00000120159	
ELAC1	1	ENSG00000141642	
NEK4	1	ENSG00000114904	
MRTO4	1	ENSG00000053372	
SLC36A1	1	ENSG00000123643	
DCAF7	1	ENSG00000136485	
NAT1	1	ENSG00000171428	
HBEGF	1	ENSG00000113070	
HLCS	1	ENSG00000159267	
ABCB10	1	ENSG00000135776	
PSMA2P1	1	ENSG00000254582	
LIPH	1	ENSG00000163898	
TAF8	1	ENSG00000137413	
MTG2	1	ENSG00000101181	
DISP1	1	ENSG00000154309	
ZNF394	1	ENSG00000160908	
USP7	1	ENSG00000187555	
CREG2	1	ENSG00000175874	
KCNN3	1	ENSG00000143603	
NFYA	1	ENSG00000001167	
ARMCX5	1	ENSG00000125962	
ACER3	1	ENSG00000078124	
ARL2	1	ENSG00000213465	
CHMP7	1	ENSG00000147457	
MFSD1	1	ENSG00000118855	
CD81	1	ENSG00000110651	
FAM83B	1	ENSG00000168143	
NAP1L5	1	ENSG00000177432	
RAB42	1	ENSG00000188060	
PAK1	1	ENSG00000149269	
TPK1	1	ENSG00000196511	
SLC12A7	1	ENSG00000113504	
BCL2L2	1	ENSG00000129473	
PWP2	1	ENSG00000241945	
PPM1B	1	ENSG00000138032	
SQSTM1	1	ENSG00000161011	
NFAT5	1	ENSG00000102908	
EPB41L4A	1	ENSG00000129595	
RFT1	1	ENSG00000163933	
STAU2	1	ENSG00000040341	
MANBA	1	ENSG00000109323	
RGS5	1	ENSG00000143248	
SETP21	1	ENSG00000214244	
ATG4A	1	ENSG00000101844	
SEPHS1	1	ENSG00000086475	
GYG1	1	ENSG00000163754	
PDAP1	1	ENSG00000106244	
BDH2	1	ENSG00000164039	
DHRS7	1	ENSG00000100612	
UBE2CP5	1	ENSG00000270804	
ABCF1	1	ENSG00000204574	
OFD1	1	ENSG00000046651	
FASTK	1	ENSG00000164896	
SLC35F5	1	ENSG00000115084	
DNAJC11	1	ENSG00000007923	
ABCD4	1	ENSG00000119688	
QPCTL	1	ENSG00000011478	
TOGARAM2	1	ENSG00000189350	
P3H4	1	ENSG00000141696	
SUPT5H	1	ENSG00000196235	
SULT1A3	1	ENSG00000261052	
PRKAB2	1	ENSG00000131791	
PLPP2	1	ENSG00000141934	
ZKSCAN4	1	ENSG00000187626	
SPDYE2	1	ENSG00000205238	
TBC1D8B	1	ENSG00000133138	
GOLPH3	1	ENSG00000113384	
COL4A5	1	ENSG00000188153	
TSC22D2	1	ENSG00000196428	
SLC35B2	1	ENSG00000157593	
POGLUT2	1	ENSG00000134901	
LIMK2	1	ENSG00000182541	
PXMP4	1	ENSG00000101417	
FOXH1	1	ENSG00000160973	
CD2BP2	1	ENSG00000169217	
WWOX	1	ENSG00000186153	
ZNF430	1	ENSG00000118620	
LRRIQ3	1	ENSG00000162620	
ITFG2	1	ENSG00000111203	
EIF5A2	1	ENSG00000163577	
MGLL	1	ENSG00000074416	
FCHSD2	1	ENSG00000137478	
NCAPG2	1	ENSG00000146918	
MYBL1	1	ENSG00000185697	
RRP1	1	ENSG00000160214	
DNAJC14	1	ENSG00000135392	
ATP5MC1P6	1	ENSG00000214318	
CDKN2AIP	1	ENSG00000168564	
THAP6	1	ENSG00000174796	
C12orf60	1	ENSG00000182993	
CCAR2	1	ENSG00000158941	
TOX4	1	ENSG00000092203	
BTG4	1	ENSG00000137707	
RPL21P89	1	ENSG00000229870	
SNX12	1	ENSG00000147164	
PYGO2	1	ENSG00000163348	
ALDH3B2	1	ENSG00000132746	
TEX261	1	ENSG00000144043	
CFAP20DC	1	ENSG00000163689	
RLIM	1	ENSG00000131263	
AKAP8L	1	ENSG00000011243	
SNX16	1	ENSG00000104497	
GINS3	1	ENSG00000181938	
MAP2K1	1	ENSG00000169032	
MRS2	1	ENSG00000124532	
SLC9A9	1	ENSG00000181804	
SPAG4	1	ENSG00000061656	
PIK3C2B	1	ENSG00000133056	
DICER1	1	ENSG00000100697	
AP1G1	1	ENSG00000166747	
SMAD7	1	ENSG00000101665	
SIK3	1	ENSG00000160584	
PMS2P6	1	ENSG00000174384	
SAXO2	1	ENSG00000188659	
LEPR	1	ENSG00000116678	
SMARCB1	1	ENSG00000099956	
FAM131A	1	ENSG00000175182	
RUVBL2	1	ENSG00000183207	
TF	1	ENSG00000091513	
RSBN1L	1	ENSG00000187257	
TEAD3	1	ENSG00000007866	
CPOX	1	ENSG00000080819	
MAP3K8	1	ENSG00000107968	
TTN	1	ENSG00000155657	
EPB41L5	1	ENSG00000115109	
SETBP1	1	ENSG00000152217	
MMS19	1	ENSG00000155229	
URB1	1	ENSG00000142207	
USP2	1	ENSG00000036672	
ALDH1A1	1	ENSG00000165092	
ZNF684	1	ENSG00000117010	
DDX11	1	ENSG00000013573	
ZXDB	1	ENSG00000198455	
DENND2B	1	ENSG00000166444	
PCTP	1	ENSG00000141179	
FBXO31	1	ENSG00000103264	
GIT2	1	ENSG00000139436	
MAGEE1	1	ENSG00000198934	
DCAF4	1	ENSG00000119599	
PIGG	1	ENSG00000174227	
ZNF333	1	ENSG00000160961	
FNBP1	1	ENSG00000187239	
COL18A1	1	ENSG00000182871	
ZNF678	1	ENSG00000181450	
TUT1	1	ENSG00000149016	
BLTP3A	1	ENSG00000065060	
RTF1	1	ENSG00000137815	
THBD	1	ENSG00000178726	
VAMP7	1	ENSG00000292366	
MYNN	1	ENSG00000085274	
IQCH	1	ENSG00000103599	
ANKRD54	1	ENSG00000100124	
IDS	1	ENSG00000010404	
NID1	1	ENSG00000116962	
LYPD5	1	ENSG00000159871	
TBC1D22A	1	ENSG00000054611	
TECRP1	1	ENSG00000235043	
MLLT11	1	ENSG00000213190	
NPM1P19	1	ENSG00000223864	
ZNF611	1	ENSG00000213020	
TYW1	1	ENSG00000198874	
RGPD8	1	ENSG00000169629	
SKAP2	1	ENSG00000005020	
COPS7B	1	ENSG00000144524	
KRBOX5	1	ENSG00000197302	
RINT1	1	ENSG00000135249	
HELZ	1	ENSG00000198265	
PAPPA	1	ENSG00000182752	
IPP	1	ENSG00000197429	
IQUB	1	ENSG00000164675	
GALNS	1	ENSG00000141012	
FLRT3	1	ENSG00000125848	
KNTC1	1	ENSG00000184445	
MIF4GD	1	ENSG00000125457	
POP5	1	ENSG00000167272	
ABHD17C	1	ENSG00000136379	
ENTPD4	1	ENSG00000197217	
ANKH	1	ENSG00000154122	
NPTXR	1	ENSG00000221890	
LMBRD2	1	ENSG00000164187	
NT5DC3	1	ENSG00000111696	
GJB5	1	ENSG00000189280	
SDR39U1	1	ENSG00000100445	
MMGT1	1	ENSG00000169446	
ZNF79	1	ENSG00000196152	
GYS1	1	ENSG00000104812	
RRP8	1	ENSG00000132275	
LEMD3	1	ENSG00000174106	
MRPL24	1	ENSG00000143314	
USF3	1	ENSG00000176542	
ZNF622	1	ENSG00000173545	
SPP1	1	ENSG00000118785	
LRP10	1	ENSG00000197324	
USP3	1	ENSG00000140455	
ALG10B	1	ENSG00000175548	
PRKAR2B	1	ENSG00000005249	
DCAF4L1	1	ENSG00000182308	
SYDE2	1	ENSG00000097096	
ZNF818P	1	ENSG00000269001	
HMOX2	1	ENSG00000103415	
NSD2	1	ENSG00000109685	
TCAIM	1	ENSG00000179152	
GMCL1	1	ENSG00000087338	
UBA1	1	ENSG00000130985	
MAP3K6	1	ENSG00000142733	
ANKRD6	1	ENSG00000135299	
PRSS3	1	ENSG00000010438	
PRPS1	1	ENSG00000147224	
RAB25	1	ENSG00000132698	
NSD3	1	ENSG00000147548	
CC2D1A	1	ENSG00000132024	
CLN6	1	ENSG00000128973	
TPST2	1	ENSG00000128294	
PHTF2	1	ENSG00000006576	
CTPS1	1	ENSG00000171793	
SPMAP2	1	ENSG00000105549	
PTPRZ1	1	ENSG00000106278	
PYM1	1	ENSG00000170473	
PTPN6	1	ENSG00000111679	
CNTNAP3	1	ENSG00000106714	
KLC1	1	ENSG00000126214	
FAM118A	1	ENSG00000100376	
BLTP2	1	ENSG00000007202	
ARRDC3	1	ENSG00000113369	
ATCAY	1	ENSG00000167654	
GOLGA5	1	ENSG00000066455	
UPK3BL1	1	ENSG00000267368	
DAPP1	1	ENSG00000070190	
ZBTB3	1	ENSG00000185670	
BCAM	1	ENSG00000187244	
EML5	1	ENSG00000165521	
MTCO1P19	1	ENSG00000237300	
ZFP91-CNTF	1	ENSG00000255073	
OSBPL7	1	ENSG00000006025	
NCSTN	1	ENSG00000162736	
TTC23	1	ENSG00000103852	
LRIG2	1	ENSG00000198799	
ARMCX1	1	ENSG00000126947	
ARFIP2	1	ENSG00000132254	
GBP4	1	ENSG00000162654	
PSMB10	1	ENSG00000205220	
FARSA	1	ENSG00000179115	
ZC3HAV1	1	ENSG00000105939	
NCOA2	1	ENSG00000140396	
KMT2C	1	ENSG00000055609	
PIWIL2	1	ENSG00000197181	
KDELR3	1	ENSG00000100196	
HSPB8	1	ENSG00000152137	
PAWR	1	ENSG00000177425	
VAV3	1	ENSG00000134215	
LMAN2	1	ENSG00000169223	
LRP1	1	ENSG00000123384	
TMEM9	1	ENSG00000116857	
LZTFL1	1	ENSG00000163818	
KHDC1L	1	ENSG00000256980	
SPPL2A	1	ENSG00000138600	
USP33	1	ENSG00000077254	
RNPEP	1	ENSG00000176393	
CTBP2P8	1	ENSG00000234383	
USP11	1	ENSG00000102226	
MED7	1	ENSG00000155868	
EMSY	1	ENSG00000158636	
JPH1	1	ENSG00000104369	
MATR3	2	ENSG00000280987:ENSG00000015479	
PPM1K	1	ENSG00000163644	
KAT6B	1	ENSG00000156650	
RMND5B	1	ENSG00000145916	
SUN3	1	ENSG00000164744	
LTO1	1	ENSG00000149716	
DAGLB	1	ENSG00000164535	
CCT6P3	1	ENSG00000234585	
STAP2	1	ENSG00000178078	
RNF14	1	ENSG00000013561	
PI4KB	1	ENSG00000143393	
SERPINB3	1	ENSG00000057149	
ABCF2-H2BK1	1	ENSG00000285292	
GPR107	1	ENSG00000148358	
FAAP24	1	ENSG00000131944	
CLMN	1	ENSG00000165959	
ADCY2	1	ENSG00000078295	
ZNF713	1	ENSG00000178665	
PCDHGC3	1	ENSG00000240184	
SERPINB1	1	ENSG00000021355	
AP4B1	1	ENSG00000134262	
RPS6P16	1	ENSG00000243250	
CCDC57	1	ENSG00000176155	
SEPTIN6	1	ENSG00000125354	
CIB1	1	ENSG00000185043	
KIAA1191	1	ENSG00000122203	
CLK3	1	ENSG00000179335	
TRAP1	1	ENSG00000126602	
MFSD11	1	ENSG00000092931	
PCBD1	1	ENSG00000166228	
ELP4	1	ENSG00000109911	
ZZEF1	1	ENSG00000074755	
HMCES	1	ENSG00000183624	
TMEM106B	1	ENSG00000106460	
R3HDM4	1	ENSG00000198858	
ALKBH4	1	ENSG00000160993	
SLCO3A1	1	ENSG00000176463	
GCNT1	1	ENSG00000187210	
ELMOD3	1	ENSG00000115459	
ANK3	1	ENSG00000151150	
C12orf50	1	ENSG00000165805	
TRRAP	1	ENSG00000196367	
MFAP3	1	ENSG00000037749	
ALG3	1	ENSG00000214160	
CLN5	1	ENSG00000102805	
GBP1	1	ENSG00000117228	
TYSND1	1	ENSG00000156521	
CCDC28A	1	ENSG00000024862	
PKD2	1	ENSG00000118762	
HSPA8P16	1	ENSG00000224059	
GCAT	1	ENSG00000100116	
IL7R	1	ENSG00000168685	
SLC30A6	1	ENSG00000152683	
INTS4	1	ENSG00000149262	
DESI1	1	ENSG00000100418	
KIAA1549L	1	ENSG00000110427	
POR	1	ENSG00000127948	
ORMDL3	1	ENSG00000172057	
ACTL11P	1	ENSG00000234667	
ARL15	1	ENSG00000185305	
RAB2B	1	ENSG00000129472	
KLHL36	1	ENSG00000135686	
ERCC6	1	ENSG00000225830	
CYFIP1	1	ENSG00000273749	
RMI2	1	ENSG00000175643	
CDK17	1	ENSG00000059758	
SMAD4	1	ENSG00000141646	
OR14J1	1	ENSG00000204695	
PEX12	1	ENSG00000108733	
CSMD2	1	ENSG00000121904	
UBE2E2	1	ENSG00000182247	
